[00:00:01] 宣立
[00:00:04] 歌 【ZettoP】Cobalt chun 翻唱！ 【克蕾瑪琪絲】Cosplay選手權【王子再臨】
[00:00:16] 是什麼呢?
[00:00:17] 比手畫腳歌曲猜謎
[00:00:21] 下次的翻唱系列就唱"獅子舞"嘛
[00:00:24] 所以說!
[00:00:27] 比起"獅子舞"
[00:00:28] 應該先唱"Robo之家"才對吧
[00:00:30] 妳們也是這麼想的吧？
[00:00:36] 小艾蕾亞，上次明明說好了
[00:00:43] 散破P的曲子
[00:00:46] 實在不怎麼樣
[00:00:49] 小艾蕾亞，妳聽聽看這邊的唱法
[00:00:53] 要我來說的話，根本糟糕透頂
[00:00:56] 搞什麼啊
[00:00:57] 這邊絕對該加入嘶吼聲才對吧！
[00:01:00] 為什麼不懂呢？我要重錄
[00:01:07] 是上次的影片？
[00:01:08] 連工作人員都不爽她是上次的影片？
[00:01:09] 連工作人員都不好棒，觀看次數變多了
[00:01:09] 好，觀看次數樂多了
[00:01:10] 入
[00:01:11] 好棒，觀看次數變多了 更新頻率下降都是這像伙的錯？
[00:01:11] 更新频率下降都是這像伙 的蜡7 笹@piripiriwabisa真是輕輕鬆鬆
[00:01:13] 但還是得想個新招才行
[00:01:16] 畢竟數字就是一切嘛
[00:01:34] 都結束了
[00:01:41] 都是過去的事了
[00:01:42] 我的嘴就是萬惡之源
[00:01:46] 好好加油！
[00:02:05] 故事總是以我們為中心
[00:02:10] 那樣再正常不過的事我要再說一次
[00:02:20] 總會遇到各種干擾
[00:02:23] 剎那間有如極限超載
[00:02:29] 梅津朋美想將眼前所見的景色搞成鋸齒狀
[00:02:36] 看得太過透徹
[00:02:37] 純粹反而盡顯滑稽別鬧了！
[00:02:41] 看似徒勞的勇敢也終將等到正當的回報
[00:02:46] 這就是我們的生存梗概
[00:02:50] 重新改寫這篇故事
[00:02:51] 用新型的方式拭去荒謬的淚水
[00:02:58] 就別停下腳步
[00:03:00] 不是動畫也非實際存在類別之後再決定
[00:03:05] 交給我我將書寫我們的夢想
[00:03:15] (跟隨真實的脈動)
[00:03:23] 國中時期，我曾經組團活動
[00:03:28] 活動內容是
[00:03:29] 上傳自己的翻唱歌曲或是閒聊影片
[00:03:34] 是段快樂的時光
