[00:00:01] 進度如何？
[00:00:03] 是指哪方面？
[00:00:05] 就是配合客戶前導宣傳，優先處理的那件
[00:00:10] 就是交期提前到荒謬的那個
[00:00:12] 那部份真的是很抱歉
[00:00:14] 怎麼辦？
[00:00:15] 要幫妳推掉新的作曲委託嗎？
[00:00:18] 不用，我來得及
[00:00:22] 再麻煩向客戶確認整體方向
[00:00:25] 謝謝，幫大忙了~
[00:00:27] 那我們就討論到這…
[00:00:29] 慢著！
[00:00:32] 說真的，妳覺得MewType怎麼樣?
[00:00:35] 什…什麼怎麼樣…
[00:00:38] 我看千石同學一副興致缺缺的樣子
[00:00:42] 但是！
[00:00:43] 在樂團編制下會更有生命力
[00:00:52] 不是還有些人更值得妳留意嗎？
[00:00:55] 像是主唱…
[00:00:57] 妳是說仲町同學？
[00:00:58] 對，她不是不想唱嗎
[00:01:02] 既然是工作我就會做
[00:01:07] 那孩子也是有苦衷的
[00:01:11] 苦衷？
[00:01:13] 她之前在另一團
[00:01:14] 是以"艾蕾亞"的名義活動的
[00:01:17] 就是在那邊留下了一點小陰影
[00:01:20] 既然這樣
[00:01:21] 幹嘛還要讓她加入樂團？
[00:01:23] 因為她本人
[00:01:25] 是想改變現狀，不甘止步不前的
[00:01:28] 才會跟經紀公司簽約的
[00:01:32] 妳就多多關照仲町同學吧
[00:01:38] 拜託妳囉~
[00:01:49] 陰影啊…
[00:02:14] 故事總是以我們為中心
[00:02:19] 指南你看得懂嗎？無論多麼細心書寫
[00:02:29] 總會遇到各種干擾
[00:02:32] 剎那間有如極限超載
[00:02:38] 梅津朋美想將眼前所見的景色搞成鋸齒狀
[00:02:45] 看得太過透徹
[00:02:46] 純粹反而盡顯滑稽別鬧了！
[00:02:50] 看似徒勞的勇敢也終將等到正當的回報
[00:02:55] 這就是我們的生存梗概
[00:02:59] 重新改寫這篇故事
[00:03:00] 用新型的方式拭去荒謬的淚水
[00:03:07] 就別停下腳步
[00:03:09] 不是動畫也非實際存在類別之後再決定
[00:03:14] 交給我我將書寫我們的夢想
[00:03:24] (跟隨真實的脈動)
[00:03:41] 小蕾！
[00:03:44] 小都子！
[00:03:46] 我來邀請妳們一起歡樂午餐了
[00:03:53] 是紅豆麵包店
[00:03:55] 妳是一號店，妳是二號店
[00:04:02] 也有兼賣資料夾
[00:04:04] 没錯
[00:04:05] 就能獲得一張自選魔法露露資料夾
[00:04:11] 熟食區還有販售
[00:04:12] 作品中出現的那個超級能量肉…
[00:04:16] 所以那個…
[00:04:18] 小野乃學姊，妳喜歡吃紅豆麵包嗎？
[00:04:22] 喜歡~
[00:04:27] 我太想要資料夾了，不小心買太多
