[00:00:16] 小蕾
[00:00:32] 故事總是以我們為中心
[00:00:37] 那樣再正常不過的事我要再說一次
[00:00:47] 總會遇到各種干擾
[00:00:50] 剎那間有如極限超載
[00:00:56] 梅津朋美想將眼前所見的景色搞成鋸齒狀
[00:01:03] 看得太過透徹
[00:01:04] 純粹反而盡顯滑稽別鬧了！
[00:01:08] 看似徒勞的勇敢也終將等到正當的回報
[00:01:13] 這就是我們的生存梗概
[00:01:17] 重新改寫這篇故事
[00:01:18] 用新型的方式拭去荒謬的淚水
[00:01:25] 就別停下腳步
[00:01:27] 不是動畫也非實際存在類別之後再決定
[00:01:32] 交給我我將書寫我們的夢想
[00:01:42] (跟隨真實的脈動)
[00:01:49] 小野乃
[00:01:50] 合作曲發表會！
[00:01:55] 好像有什麼要開始了
[00:01:56] 好像是呢
[00:01:57] 那麼小蕾，請公布歌名
[00:02:00] 我們值得紀念的首次合作曲是…
[00:02:03] "魔法露露"初代片頭曲
[00:02:06] 九 "'魔法露露健美肌"
[00:02:08] 儿 或是第二季片尾曲
[00:02:12] 又或是劇場版主題曲
[00:02:15] 這三首讓我很猶豫
[00:02:19] 根本沒決定好嘛
[00:02:21] 這三首歌小蕾都很喜歡吧
[00:02:24] 是啊
[00:02:25] 尤其"再見了，二頭肌"
[00:02:27] 在劇中播放的時機點實在是…
[00:02:28] 那就那首吧
[00:02:33] 也好
[00:02:34] 就這麼決定！
[00:02:36] 縮圖就
[00:02:38] 业业业业业
[00:02:39] 臉皮是要多厚啊
[00:02:45] 這不好啦，您還有稿件要忙
[00:02:48] 等我賺夠錢了
[00:02:49] 會透過經紀公司正式向您委託
[00:02:52] 總有一天一定會的
[00:02:53] 我保證！
[00:02:55] 我會等妳的
[00:02:57] 都到齊啦
[00:02:58] 那就趕緊來練習吧
[00:03:01] 是
[00:03:08] 怎麼說呢
[00:03:10] 總覺得
[00:03:12] 小野乃學姊對我很溫柔
[00:03:14] 我最喜歡的夜子老師也在
[00:03:17] 小由乃同學又是強大的AI
[00:03:21] 讓我現在
[00:03:23] 非常…
[00:03:25] 想唱歌！
