[00:00:03] 真的十分抱歉
[00:00:07] 我真的…
[00:00:10] 非常，非常…
[00:00:13] 希望妳能給我深刻地好好反省
[00:00:18] 再說了，在別人的場子把人帶走
[00:00:21] 簡直是前所未聞
[00:00:24] 非常抱歉
[00:00:27] 本來就是對方
[00:00:29] 硬把仲町同學這個場外人士拖上場
[00:00:32] 才會發生這種事的
[00:00:34] 我們只要咬著這點抗爭到底就行
[00:00:44] 妳還好吧？
[00:00:48] 被臭罵了一頓
[00:00:51] 我曾以為…
[00:00:53] 我的人生在那時就結束了
[00:00:57] 卻還是走到了現在
[00:00:59] 以為今天真的玩完了
[00:01:03] 卻沒有結束
[00:01:06] 經紀人說她要抗爭到底
[00:01:14] 這就代表…
[00:01:16] 我可以繼續活動了吧
[00:01:26] 我只會向前看
[00:01:28] 小蕾都已經把我救出來了
[00:01:31] 我完全不打算回頭
[00:01:35] 我想…
[00:01:37] 肯定沒問題的
[00:02:00] 故事總是以我們為中心
[00:02:05] 那樣再正常不過的事我要再說一次
[00:02:15] 總會遇到各種干擾
[00:02:18] 剎那間有如極限超載
[00:02:24] 梅津朋美想將眼前所見的景色搞成鋸齒狀
[00:02:31] 看得太過透徹
[00:02:32] 純粹反而盡顯滑稽別鬧了！
[00:02:36] 看似徒勞的勇敢也終將等到正當的回報
[00:02:41] 這就是我們的生存梗概
[00:02:45] 重新改寫這篇故事
[00:02:46] 用新型的方式拭去荒謬的淚水
[00:02:53] 就別停下腳步
[00:02:55] 不是動畫也非實際存在類別之後再決定
[00:03:00] 交給我我將書寫我們的夢想
[00:03:06] 大
[00:03:10] (跟隨真實的脈動)
[00:03:20] 我真的…
[00:03:23] 感到十分抱歉！
[00:03:27] 没什麼
[00:03:28] 妳只是照自己的意思來而已吧
[00:03:31] 我不是那個意思
[00:03:33] 難道我鼓勵的方式錯了？
[00:03:44] 大家會生氣也是當然的
[00:03:47] 我沒有…
[00:03:48] 沒關係啦~
[00:03:54] 我也明白光道歉也無濟於事
[00:04:07] 那個…我很抱歉
[00:04:09] 没事吧~？
[00:04:11] 預約特典作業進入佳境了
[00:04:15] 特典是什麼？
[00:04:17] 夜子老師的漫畫下週要出書發行了
[00:04:31] 資料夾我畫了兩種圖
[00:04:33] 感激不盡
[00:04:35] 另外，秋葉原的書店竟然
[00:04:38] 會展示傳說中的那個
[00:04:39] 第一屆魔法露露粉絲創作冠軍作品
[00:04:43] 我的頭…
[00:04:47] 不必費心了
[00:04:51] 我…我的歉意…
[00:04:54] 果然還是沒傳達到吧
[00:04:57] 之前也是
[00:04:58] 我一旦感到佩服，就會嗨過頭
[00:05:01] 根本看不出誠意…
[00:05:03] 沒人想看到妳反省的樣子
[00:05:04] 小由同學
[00:05:06] 有活力是好事啊
[00:05:07] 沒錯
[00:05:12] 謝謝妳們
[00:05:16] 真的非常感謝各位
[00:05:27] 都子學姊,小由同學,小野乃學姊
[00:05:38] 好
[00:05:59] 要繼續前進
[00:06:01] 就得好好先了解清楚
[00:06:05] 个
[00:06:06] 否則
[00:06:08] 在薇歐拉動手腳的時候
[00:06:11] 我就注意不到
[00:06:23] “薇歐拉好可憐"
[00:06:27] "亞墨Xn
[00:06:31] 个
[00:06:33] 小律
[00:06:41] 她在假哭
[00:06:43] 她做的事跟我那時一樣
[00:06:46] 那時我還不知道,但現在·
[00:06:50] 我明白歌美姐也是被薇歐拉陷害的
[00:06:54] 我再也不會悶在棉被裡哭了
[00:06:56] 絕對不會再回到那個時候
[00:07:20] 4885回視聴·20时 東雲架久夜
[00:07:22] 1.2万
[00:07:26] 好想唱歌…
[00:08:07] 魔…魔法…
[00:08:10] 健美肌
[00:08:14] …即是力量
[00:08:16] 夢想即是…力量
[00:08:19] 夢想…
[00:08:20] 完全不行
[00:08:50] 完…完成了
[00:08:55] 完成了
[00:08:57] 我完成了！
[00:09:15] 野乃暖あ@r 聲音在抖
[00:09:16] 聲音在抖
[00:09:22] 謝謝
[00:09:25] 字宙で一番天使 下次的歌就加上滿滿的和聲
[00:09:29] "封面圖有點弱"
[00:09:33] 找人幫忙吧
[00:09:36] (第一名.魔法露露劇場版公開紀念插圖)
[00:09:39] 哪天能請夜子老師幫我畫就好了
[00:09:56] 好可怕
[00:10:03] 現在，我從您的歌聲中感受到無限可能。之前偶而在網站的推薦欄中發現您的錄音， 強烈感覺到這就是我們要找的聲音。聽到您的聲音的那一刻，明明與您素不相識， 但我腦海中卻自然地浮現出您的心情以及您眼中所見的風景，讓我不禁起身。
[00:10:04] 要不要和我們一同創作音樂呢？
[00:10:06] 說我有無限可能
[00:10:09] 跟那個時候比起來
[00:10:11] 現在完全不一樣了
[00:10:14] 想再一次實現我的夢想
[00:10:21] 要用歌聲跟大家交流
[00:10:28] 這次真的要抗爭到底
[00:10:41] 回来了
[00:10:42] 小蕾
[00:10:43] 老師說了什麼？
[00:10:46] 只是確認事情經過而已
[00:10:50] 那當然！小蕾又沒做錯！
[00:10:54] 也不算沒錯®…
[00:10:56] 把未成年的長相公布在網路上才叫犯罪吧
[00:11:00] 是不是可以提告？
[00:11:02] 這個嘛
[00:11:04] 倒也不必這樣
[00:11:07] 對了，小蕾原來妳在玩樂團啊
[00:11:12] 跟食兔者的合作影片真不錯
